Conditions,Growth Time,R2s,Type,Glucose r2,Mgso4 r2,Nacl r2,Similarity to mgso4_400_7.2,Concentration,Similarity to glucose_4,Batch
glucose_5.5.4,5.5,-0.413083415,mgso4,-0.413083415,#N/A,#N/A,29755.56881,0.8,26529.81181,24
mgso4_8_5.5.2,5.5,-0.444372092,mgso4,#N/A,-0.444372092,#N/A,22868.01778,8,20358.28228,24
mgso4_50_5.2,5,-0.450344681,mgso4,#N/A,-0.450344681,#N/A,23044.75475,50,21873.01642,24
mgso4_200_5.2,5,-0.455004588,mgso4,#N/A,-0.455004588,#N/A,21927.21611,200,21738.5012,24
mgso4_400_7.2,7,-0.499613634,mgso4,#N/A,-0.499613634,#N/A,0,400,17812.09679,24
mgso4_0.08_28.2,28,-0.407968531,mgso4,#N/A,-0.407968531,#N/A,31827.30118,0.08,26631.9227,24
glucose_28.3,28,-0.252932366,mgso4,-0.252932366,#N/A,#N/A,47247.10251,#N/A,44356.89318,24
mgso4_8_28.2,28,-0.124402833,mgso4,#N/A,-0.124402833,#N/A,52872.97713,8,51829.99831,24
mgso4_50_28.2,28,-0.286008387,mgso4,#N/A,-0.286008387,#N/A,45428.19343,50,43751.91067,24
mgso4_200_28.2,28,-0.401750478,mgso4,#N/A,-0.401750478,#N/A,34799.55773,200,33873.72443,24
mgso4_400_28.2,28,-0.460463536,mgso4,#N/A,-0.460463536,#N/A,28328.54918,400,29107.12755,24
mgso4_0.005_5,5,-0.380175849,mgso4,#N/A,-0.380175849,#N/A,35169.96584,0.005,30685.28725,25
mgso4_0.01_5.5,5.5,-0.379952874,mgso4,#N/A,-0.379952874,#N/A,33519.72818,0.01,28670.44859,25
mgso4_0.02_5.5,5.5,-0.39759797,mgso4,#N/A,-0.39759797,#N/A,32207.7659,0.02,27387.83812,25
mgso4_0.04_5.5,5.5,-0.399380932,mgso4,#N/A,-0.399380932,#N/A,30900.50555,0.04,25414.56586,25
