Gene Name,Dextrose_exp_1,Dextrose_exp_2,Dextrose_sta_1,Dextrose_sta_2,Dextrose_nrp1_1,Dextrose_nrp1_2,Lipid_exp_1,Lipid_exp_2,Lipid_sta_1,Lipid_sta_2,Lipid_nrp1_1,Lipid_nrp1_2
Rv1151c,21.77824243,23.50706664,27.41254347,28.68630246,18.39195763,8.20255767,7.556774887,7.224688265,3.722769585,3.356600953,7.976451553,20.93303921
Rv1152,100.0544299,131.1115234,45.70519542,46.27085675,277.0877005,169.7478788,106.3204065,97.23548956,11.8070541,17.34229496,123.3625435,453.2974651
omt,16.43678169,16.18173397,32.30703003,34.56918246,14.96467562,6.432165125,10.09673809,7.273536897,2.170438666,2.756704901,5.76237749,8.140225725
Rv1154c,15.23943042,19.68323463,52.58717451,61.74486298,22.09723328,12.75913129,13.27946422,12.82499029,3.251260038,2.916439204,8.521983646,11.83488087
Rv1155,203.4992687,228.3439364,54.91224923,55.52558145,99.81279576,38.85879311,174.0224376,169.7468483,70.22337242,65.86974999,29.56517535,112.3336571
IGR275_Rodriguez_Rv1155-Rv1156,5.412344274,13.34184863,4.382212831,2.644737153,8.566502637,1.396651711,22.25813694,22.17423552,4.02881322,2.64332325,0.878717286,8.571467308
Miotto_candidate_1139,0,0.327289216,2.736367975,1.513822613,0.25362338,0,0,0,0,0,0,0
Rv1155a,195.2166715,248.0696406,96.39181951,93.17217749,121.8237636,42.92179201,195.1385361,220.7080515,60.56923276,72.81376546,27.76211954,112.4527272
Rv1156,303.2048035,344.4051063,54.70990818,52.46244948,186.0094573,113.5333742,191.9827401,241.3795144,36.85737653,52.5723878,67.29173637,99.2674207
IGR277_Rodriguez_Rv1156-Rv1157c,220.3144541,246.8904306,36.28130753,37.75643098,141.1032206,93.12359528,143.3453089,154.4023652,20.11628884,29.92874684,55.04493731,72.85747212
Rv1157c,75.60307785,76.99742752,72.91372449,78.1795783,29.00101537,3.723153084,95.94075486,56.02252002,6.575444003,8.858448886,1.489134468,1.436258411
mcr10,1.246745971,1.053711623,0.550610629,0.812295061,1.224815348,0,0.379793564,0.806508352,0,0,0.151810913,0.338478384
Rv1158c,126.4462887,126.1010898,83.61674443,96.47963329,57.15536356,5.843204163,139.2559744,86.51040139,5.1019293,11.55165753,2.675334427,1.399934719
pimE,44.04072422,48.32743474,8.073710719,7.323817734,13.42618768,5.160211377,13.71520717,9.625359808,3.560887052,5.634398518,5.37417661,12.72114592
Rv1159A,142.1579127,175.9920244,186.3034533,161.6125152,145.1900411,54.42857897,337.4925568,457.7147138,56.7601555,62.54319223,47.04220698,188.2973064
mutT2,25.84627316,22.66593064,8.584872768,7.856952576,13.37952634,3.529878738,4.441177558,3.725841402,0.995269083,2.37340644,2.323134608,6.156969475
Miotto_candidate_1140,0,0,0,0,0,0,0,0,0,0,0,0
IGR278_Rodriguez_Rv1160-Rv1161,463.9438602,524.8550137,302.075479,238.282888,1186.287128,926.7966455,511.0800608,429.081646,84.12393439,100.601876,315.213674,235.4238045
narG,253.3691157,248.412515,128.4744738,131.2918831,488.5983452,369.1228264,260.1886238,232.9563073,143.2106462,124.7122387,161.4972621,110.6945102
Miotto_candidate_1141,0,0,0,0.268581431,0,0,0,0,0,0,0,0
IGR279_Rodriguez_Rv1161-Rv1162,32.94947426,34.59093188,14.41446542,15.86445184,80.92470863,30.2136029,31.09046572,22.78931033,17.40893228,16.31984203,10.09337423,13.50254309
narH,162.146562,147.5559133,29.88466277,30.89118881,180.7917288,94.59948726,138.4446057,113.6783622,53.54019011,50.62166306,35.38579314,52.3079287
Miotto_candidate_1142,394.3279399,443.059684,974.447699,843.4903152,1067.258332,588.6486215,568.7888582,429.7781088,319.5713957,282.4991208,308.4080408,508.8966707
IGR280_Rodriguez_Rv1162-Rv1163,40.56348343,36.3211847,13.65425552,9.870367602,50.62240852,27.44495702,31.83374523,29.40015628,17.35917217,15.85461022,6.776398424,10.57608466
narJ,84.21583873,88.16879839,18.27236808,17.10544611,87.7147671,49.04029813,69.68647852,61.59108648,35.14368659,32.84343678,15.49899239,26.58730948
narI,82.90406426,85.87963027,12.0643916,11.42721564,76.03772689,28.03669933,47.43959894,39.49278753,24.42764137,21.65462013,10.88613318,20.31075857
typA,58.3818037,61.90136979,7.088345898,7.306781324,28.34211031,13.84069263,11.62295105,9.646686149,4.969042474,5.477156285,5.887801634,13.8114248
lpqW,69.93970456,70.78092444,257.2347239,262.0864904,45.54573445,28.2685332,23.29609533,21.06971368,5.863035311,11.49122902,12.79102422,19.04898867
IGR281_Rodriguez_Rv1166-Rv1167c,18.22836703,23.68987274,60.37757215,55.02245351,25.58246396,17.17266727,7.381789533,5.849087696,3.153731822,3.621061921,16.03037313,16.98698474
Rv1167c,58.55632537,61.32784218,104.4933588,108.4031886,68.19957801,100.8884961,22.1624586,20.01198757,6.00079794,10.25778082,133.5748151,71.8956573
Miotto_candidate_162,0,0,0,0,0,0,0,0,0,0,0,0
PPE17,36.03203644,32.30825593,232.6790073,236.9917658,237.7488954,594.1471761,24.20992433,22.32250099,12.04626395,12.96798474,509.9577947,181.5087895
lipX,3.846396481,2.673402013,298.7280727,305.6722611,349.7817968,1061.647359,3.931427439,3.273944796,3.605860645,4.201982505,436.1287044,148.7377908
Miotto_candidate_1143,0.388227226,0.410147246,7.286878643,3.794137688,4.131813799,6.010906099,0.295662078,0,0,0,0.709091481,0
Miotto_candidate_163,0,0,0,0,0,0,0,0,0,0,0,0
mshB,25.69280973,25.01178641,116.0312284,123.1101301,39.14977215,28.50731536,12.62626203,7.423723673,1.984745861,4.824596302,14.16835273,30.69965539
IGR282_Rodriguez_Rv1170-Rv1171,27.11869341,28.64986444,23.52556362,29.97368774,62.9039377,27.07544107,28.76636411,36.02545466,2.403151745,5.912696744,20.24518378,16.8722567
Miotto_candidate_1144,0,0,0,0,0,0,0,0,0,0,0,0
Rv1171,39.43279399,38.86726426,46.99293166,49.33311039,43.04351079,34.72627214,23.9928771,20.24500558,6.914802519,10.48688051,28.45370259,20.533204
PE12,124.9626801,127.4044769,100.4917856,100.6936993,150.0834819,124.990535,60.62316493,36.65175902,16.87002155,23.97501792,71.22633965,51.58070995
Miotto_candidate_1145,0,0,0,0,0,0,0,0,0,0,0,0
Miotto_candidate_165,0,0,0,0,0,0,0,0,0,0,0,0
fbiC,199.9093881,227.3911526,79.48678006,81.93896097,75.61912772,32.10687345,115.6509072,94.8597808,45.95291625,51.96856446,32.79895151,62.29542595
Miotto_candidate_1146,0,0,0,0,0,0,0,0,0,0,0,0
Miotto_candidate_1147,1.793564379,2.842248456,3.168426077,3.359623869,10.57209037,4.628280525,1.2293318,0.435090032,0,0,4.367892941,3.530270161
Miotto_candidate_1148,0,0,0,0,0,0,0,0,0,0,0,0
TB8.4,447.3391935,435.0381335,316.2538798,361.9945371,623.1937729,253.4734119,198.993009,150.3647633,61.84945563,79.27985274,196.0357572,357.5048331
IGR283_Rodriguez_Rv1174c-Rv1175c,171.5457327,156.4466878,144.9266757,123.8651462,343.0899737,121.9638267,75.03969743,80.50789065,20.14048684,24.66197579,56.85431991,142.9963818
fadH,49.88978677,51.44259168,11.68885187,13.43265265,31.7175763,8.500608564,14.78719209,12.13675587,5.025003014,8.127403154,7.413770285,13.98041088
Miotto_candidate_166,0,0,0,0,0,0,0,0,0,0,0,0
Rv1176c,18.02532201,14.15439731,7.307182639,6.047322965,20.39532434,7.914359698,2.253774966,1.261761093,1.602101163,2.200837121,4.193177224,6.464046398
Miotto_candidate_1150,2.618166539,2.56842208,1.755071381,1.827663886,3.444793165,2.654205996,0.64090164,0.529271106,0.596601261,1.141679249,1.195510941,1.396223333
Miotto_candidate_167,0,0,0,0.304610648,0,0,0,0,0,0,0,0
fdxC,437.0702481,420.7257834,125.9231354,118.3212087,514.0759768,245.2967448,511.360675,506.3929059,26.67981377,36.58820141,83.08513786,127.0629221
Rv1178,477.7640466,482.9598688,69.6840981,74.10849792,272.6220769,116.7894953,207.9207593,159.8686184,15.33376635,21.78395297,46.7590159,105.3628194
Rv1179c,34.31336703,36.73333999,3.518343345,3.720138549,10.9160582,4.265896007,15.73719077,12.88375643,3.648858444,5.185490957,2.483077437,6.363033532
Miotto_candidate_1151,0,0,0,0,0,0,0,0,0,0,0,0
pks3,54.62889002,59.63490625,38.84845117,38.17371501,64.18383085,14.56630619,60.77357199,52.94752072,23.3768464,26.35590284,6.517003456,24.25034957
pks4,10.90788525,11.47600457,3.729230487,3.618638514,5.22899953,1.633201201,4.692117962,4.830516307,1.79587574,2.5193392,1.045893758,2.48534649
Miotto_candidate_1152,0,0,0,0,0,0,0,0,0,0,0,0
papA3,8.926490285,9.042316018,1.64659352,1.249783785,2.459556965,0.362532333,5.629455979,6.903489833,1.13770473,1.451437185,0.868499643,1.173582557
Miotto_candidate_1153,0,0,0,0,0,0,0,0,0,0,0,0
Miotto_candidate_1154,17.32403083,16.67531709,12.18485196,7.942818229,13.34228769,3.808164708,4.202360169,1.971558597,1.569302619,1.096776384,3.750174191,4.006507731
mmpL10,11.09989249,10.55287463,2.318273865,2.299410519,2.670252137,1.209905437,1.855232869,2.348965627,1.501185448,1.518293016,0.924638952,1.362856384
Miotto_candidate_1155,0,0,0,0,0,0,0,0,0,0,0,0
Rv1184c,239.3392093,220.3911033,33.76849104,32.65651781,117.5924802,43.71218111,81.53429335,82.46043834,52.15252527,57.93895337,6.120509984,55.66465065
Miotto_candidate_168,0.718826974,0.759413259,0.264551201,0.780564785,0.588485499,0.309154676,0.364957878,0,0,0.292555308,0.291761599,0.975769716
Miotto_candidate_1156,0,0,0,0,0,0,0,0,0,0,0,0
fadD21,173.8846726,171.7454401,20.66454054,19.62871031,77.69679972,15.90162081,73.89083854,87.50720092,15.51850211,20.01704848,8.169996641,30.52355975
Miotto_candidate_169,0,0,0,0,0,0,0,0,0,0,0,0
Miotto_candidate_170,0,0,0,0,0,0,0,0,0,0,0,0
Miotto_candidate_171,0,1.255877225,0.262500416,0.193628474,1.557129589,0.306758128,1.086386242,0.576747252,0.37923491,0,0.144749941,0.322735203
Miotto_candidate_172,0,0,0,0,0,0,0,0,0,0,0,0
Miotto_candidate_173,135.5729039,132.4958471,33.53902611,26.25084117,104.2731334,29.74186128,60.7736227,62.79014269,27.47279139,26.1771781,20.93250095,27.71103125
IGR284_Rodriguez_Rv1185c-Rv1186c,15.14565476,17.60088673,7.106955714,6.321611097,14.4142621,1.465622166,2.883617802,2.908657437,0.704627827,1.618083677,1.037374574,4.368878398
IGR285_Rodriguez_Rv1185c-Rv1186c,0.309797484,0,0.684091994,0,0.25362338,0,0,0,0,0,0,0.42053375
Rv1186c,22.17264847,24.0056621,6.973550019,6.704071572,26.7546786,9.226077941,6.139056452,5.260634025,5.546633037,4.319035439,6.385916206,15.49967248
rocA,32.84992288,41.23663633,31.89138788,27.67178688,67.72583443,6.571052322,38.45654189,27.85455983,17.32629495,13.18219798,6.006856446,14.91078167
Rv1188,18.0611933,21.5029015,5.985804946,5.676834799,46.69206427,2.438262331,11.82021152,8.341862525,4.546222133,3.42319261,2.602867112,7.401393993
sigI,12.57713908,13.84399643,6.089829244,5.235953471,21.08211663,2.175768989,4.200569025,4.005519574,4.109464202,3.881971001,1.839468316,4.33973488
Rv1190,6.803914019,6.155941536,1.579482027,2.244900769,13.93976421,0.945401329,3.215283058,1.86212594,1.317183368,0.660329614,0.679781291,1.847190907
Rv1191,35.36262096,37.99666837,3.922875073,4.995614623,18.11120399,4.02205165,11.8445783,8.998517779,2.548541488,2.578323498,3.20395688,7.985315445
IGR286_Rodriguez_Rv1191-Rv1192,2.936484659,2.757585736,1.080719799,0.531448364,2.404025869,0,0.745445879,0.26383119,0.173479799,0,0,0.885805132
Rv1192,212.467196,239.255532,19.09880746,20.00055854,575.5899907,383.2442658,92.9214493,81.49898395,10.47750942,15.48988489,213.293233,166.7324897
fadD36,70.74362792,75.99117021,9.572958217,10.486575,76.68575782,40.23967694,28.5149649,21.80039718,4.552685758,6.899532206,26.13133419,33.99137035
Rv1194c,95.81331417,95.72046222,17.03826754,14.955276,358.4635925,211.2996507,23.70784825,14.77037867,5.538746829,6.877129507,57.18342969,93.14772727
